Checkpoint (passos),DQN (recompensa),"DQN (tempo, s)",DQN (convergência),A2C (recompensa),"A2C (tempo, s)",A2C (convergência),PPO (recompensa),"PPO (tempo, s)",PPO (convergência)
50k,183.40 ± 12.73,0.8656,Não,141.20 ± 2.99,0.0056,Não,500.00 ± 0.00,0.0051,Sim
100k,275.20 ± 49.49,0.0102,Não,302.10 ± 9.51,0.0045,Não,500.00 ± 0.00,0.0053,Sim
150k,288.40 ± 46.18,0.0091,Não,127.50 ± 7.67,0.0043,Não,500.00 ± 0.00,0.0046,Sim
200k,206.80 ± 19.07,0.0069,Não,183.10 ± 5.17,0.0043,Não,500.00 ± 0.00,0.0051,Sim
250k,152.00 ± 6.29,0.0071,Não,338.40 ± 16.35,0.0043,Não,500.00 ± 0.00,0.0049,Sim
300k,153.10 ± 6.36,0.0079,Não,93.00 ± 3.58,0.0047,Não,500.00 ± 0.00,0.0054,Sim
350k,277.60 ± 82.60,0.0070,Não,500.00 ± 0.00,0.0048,Sim,500.00 ± 0.00,0.0053,Sim
400k,278.40 ± 33.79,0.0070,Não,500.00 ± 0.00,0.0042,Sim,500.00 ± 0.00,0.0056,Sim
450k,238.90 ± 58.47,0.0071,Não,494.70 ± 8.58,0.0050,Sim,500.00 ± 0.00,0.0052,Sim
500k,396.70 ± 80.09,0.0080,Não,500.00 ± 0.00,0.0043,Sim,500.00 ± 0.00,0.0057,Sim
